model,n_obs,n_participants,max_p_waic,max_pareto_k,n_waic_gt1,n_k_gt.5,n_k_gt.7,n_both,pct_both
change.taf_l,1155,89,2.3077942368143454,0.9326191413915798,18,64,5,11,0.952
change.mcq_confidence,984,88,1.7617228960244802,0.77915649664821,9,40,5,6,0.61
change.bcss_other_neg,984,88,1.411569677720438,0.6920055667481929,4,24,0,3,0.305
change.mcq_self,984,88,1.3564227282202488,0.8885767905326765,5,5,1,2,0.203
change.mcq_control,984,88,1.157928572657564,0.6251217622594745,2,10,0,2,0.203
change.mcq_danger,984,88,1.3167433766689651,0.6227824111640874,3,10,0,2,0.203
change.mcq_worry,984,88,1.1530458747164314,0.7650294032352319,3,23,3,1,0.102
mechanism.ifs.oasis,1470,60,1.0755663693791142,0.7261918449715475,2,10,1,1,0.068
mechanism.bsam.change.all.oasis,1470,60,1.0726137368693553,0.7095688591301019,1,9,1,1,0.068
change.bcss_other_pos,984,88,1.4833009363812906,0.6755829546248361,13,9,0,1,0.102
growth.oasis,3240,165,1.355696620757275,0.6603800127526054,14,23,0,1,0.031
mechanism.bsam.change.all.ew.oasis,760,29,1.408501876564145,0.6578988566336582,2,9,0,1,0.132
mechanism.mcq_confidence.oasis,1470,60,1.0942909575373223,0.5816185957992961,1,2,0,1,0.068
change.taf_m,1980,89,0.9290607750710222,0.7402745642190267,0,7,1,0,0
mechanism.bcss_self_pos.oasis,1470,60,1.0754228136486894,0.7385824737365674,2,9,2,0,0
mechanism.dts.ew.oasis,760,29,1.423166618583604,0.7206167531111258,1,10,1,0,0
growth.wsas,2575,165,0.9450165120804748,0.6725618614841884,0,6,0,0,0
change.bcss_self_neg,984,88,0.8745017989874082,0.6305366691645012,0,18,0,0,0
mechanism.dts.oasis,1470,60,1.0270191520053302,0.6197883060558514,2,3,0,0,0
mechanism.mcq_danger.oasis,1470,60,1.0459851285577262,0.6068497529277845,1,7,0,0,0
change.bcss_self_pos,984,88,1.0398838096598864,0.5881053495518562,2,7,0,0,0
change.scs,1968,88,0.9122540681410172,0.5825970818629289,0,1,0,0,0
mechanism.tiii.oasis,1470,60,1.0430687580225433,0.5627868103636771,2,4,0,0,0
mechanism.dts.bsam.wet.dts,1526,59,0.6967594102763428,0.5486554488273911,0,2,0,0,0
change.dts,2296,88,0.5869978561945999,0.5019169082796323,0,1,0,0,0
change.ifs,3935,88,0.7114442225075308,0.47337717156290193,0,0,0,0,0
